name,count
casa,23.0153208181
queens,19.6764376653
luz,19.1351092133
como,14.9183340373
15,14.8572597786
todo,13.3416684203
dog,13.2689209976
familia,12.5870392131
tranquilo,12.0600094734
ok,11.3326146213
war,10.9918598395
husband,10.1620573517
20,9.17341524807
studio,8.89500793043
lo,8.88787517377
habitacion,8.63473202673
sleep,8.60315745069
downtown,8.46223975792
flat,8.25661743555
sehr,8.15678946697
barrio,8.1210155602
por,8.03282716443
man,7.98655843882
buses,7.86221202718
bus stop,7.69430188762
barrio tranquilo,7.68702715941
der,7.65349390754
experiencia,7.52923752271
guest,7.46668213934
fue,7.45905379554
room clean,7.16929787557
take bus,6.94473908916
seguro,6.94168493192
das,6.92291530308
auch,6.86230255047
nicht,6.82318202045
cute,6.70850166639
haben,6.70801766711
bus station,6.5342351242
bad,6.50432979641
square,6.38924675106
front,6.37285641603
shops,6.34053958256
te,6.31062266538
recomiendo,6.27436460226
another,6.24486618712
living room,6.16049371833
wenn,5.98852881336
like pictures,5.98164560911
easy access,5.97334571147
peaceful,5.97334571147
