name,count
pets,72.8879612245
stadium,57.8039809719
apt,28.2055079579
friend,25.9887071474
room clean,21.6572559562
close window,20.146111901
je,20.0292465822
remainder,19.6813748515
bronx,19.2397715089
cute,18.7064005678
night experience,18.6430134877
cats,18.5345535108
accurately,18.5345535108
pics,18.3100104211
didn disturb,18.089056386
think,17.9525238547
ok,17.8611877019
quiet didn,17.5772141412
simple room,17.5772141412
nuestra,17.561221751
friendly stayed,17.2563908665
helpful understanding,16.8021053559
intended,16.5154231348
animals,16.3765312973
lugar,15.8574539522
heart,15.7707236068
inside room,15.5984347029
bed small,15.5984347029
reflect,15.5984347029
people looking,15.240686098
cheap,15.1836027569
station minute walk,14.9009830879
near metro station,14.9009830879
station minute,14.5775922449
despite,14.5518956193
luggage,14.4756384785
good people,14.3703138761
two beds,14.2690185016
je suis,14.1692238546
supermarket,14.1027539789
unlimited,14.0708861159
simple,13.8854547824
disturb,13.8784154371
actually,13.8140479608
nothing,13.7431422438
staying really,13.6912918636
room two,13.6912918636
possible,13.5333626005
downtown,13.5333626005
ll stay,13.5092263083
suis,13.5092263083
