name,count
studio,50.1073351036
attic,27.4888646001
queens,19.6217802646
basement,18.7158180447
metropolitan,15.1542619929
stocked,14.8892418391
molt,11.7375000743
vous,11.0604456853
park,11.001033948
responsive,10.8352870183
neighborhood quiet,10.2588522054
problems,10.2588522054
shops,10.0518323007
quiet safe,9.87582289053
jeg,9.81079695729
dryer,9.72305460121
ceiling,9.71582506387
og,9.21650030203
thoughtful,9.10980160085
45,8.50767277606
15,8.16525623567
fridge,7.96030682427
washer,7.940626412
unit,7.88664175602
basement apartment,7.62969253317
een,7.4332579329
low,7.41484653681
low ceiling,7.22642066196
stocked water,7.22642066196
todo,7.17291898973
neighborhood quiet safe,7.15629618929
ens,7.13262065627
por,7.09502624171
wasn,7.00065796693
stocked breakfast,6.95578103386
using,6.89518264798
washer dryer,6.81565977531
always available,6.7960224572
hills,6.79158398011
robes,6.79158398011
machine,6.61718867667
wine,6.50286272133
get manhattan,6.48137443289
walked,6.44770716061
spacious comfortable,6.31959162317
several,6.31545164147
different,6.2507243445
private bathroom,6.24867042793
loved thank,6.23179377366
station 10,6.22714149655
throughout,6.21869939182
