name,count
ferry,93.3805866348
bus ferry,66.039955112
staten island,58.9392526139
staten,58.9392526139
airport,53.632448098
beach,46.106455457
parents,41.6359251077
studio,39.1247059297
island,38.3159148891
airport super,37.5758873428
like pictures,29.8980424115
boardwalk,24.1580681955
get manhattan,23.0546343841
hotel place,22.390802372
definitely stay home,21.9488923792
express bus,21.736585796
definitely stay place,21.68959968
te deja,21.5296546446
hotel,21.4529792392
cruise,21.3278334303
us ride,19.7058256619
staten island ferry,19.5439719789
manhattan take,19.2295738374
island ferry,19.0767966062
guardia,18.9268227856
place perfect,18.8254779036
deja,18.6348866133
stay home,18.6228283998
25,18.6228283998
groceries,18.4234741563
travel time,18.3530192366
pick,17.9388254469
show,17.4726089745
reach,17.0234739214
totally recommend place,16.9557223609
quickly,16.0897344294
20,15.9273477396
travel,15.9273477396
would highly recommend,15.846953905
would highly,15.846953905
exactly described,15.7670838125
couldn,15.7670838125
place family,15.5634311058
hospital,15.5634311058
estaba,14.8113290017
24 hours,14.6336406147
35,14.6336406147
everything fine,14.5462243387
vibe,14.45973312
clean warm,14.3741475852
totally recommend,14.1226402367
