name,count
central,32.3046014556
building,22.568423219
central park,20.8965876688
square,20.0755443407
park,17.9184508039
times square,13.8263342836
empire,12.6351436956
midtown,12.4306406841
empire state,12.217430737
state,10.3716375051
lo,10.0015339334
state building,9.45239864668
grand central,9.45119814183
studio,9.43022491823
empire state building,9.39493725673
apartamento,9.33244332789
apt,9.30431523493
departamento,9.06486459927
todo,8.83126213157
grand,8.49689363215
location perfect,8.42936192805
flat,8.24132829427
se,8.09070889994
apartment location,7.74785365255
responsive,7.4872350875
perfect location,7.4618882382
view,7.41456751868
stay apartment,7.25116493199
attractions,7.09096184594
5th,7.02046571733
appartment,6.64671050586
flexible,6.5315805191
avenue,6.52111015756
loft,6.51672925904
time square,6.28732654358
ubicacion,6.16740334272
noise,6.12684872337
floor,6.10184053745
por,5.85599922367
block,5.72980212529
keys,5.71248246043
friend,5.65594165701
sleep,5.60732324735
hotel,5.60630462347
recommend apartment,5.51873717985
photos,5.50785622304
location apartment,5.35315053026
wifi,5.34756337123
fue,5.31125510984
apartment perfect,5.28967768516
center,5.23467224756
