name,count
person willing,703.176654393
new nice place,684.245656951
time stay new,675.364047435
experience stay house,675.364047435
help first,635.696488492
first time stay,621.654892773
stay new nice,602.158045284
good experience stay,578.614100055
lovely person,454.481100092
comer,451.350553705
house lovely,448.26441373
new nice,425.034988571
place new,396.672269511
experience stay,391.890335915
time stay,378.144551554
willing help,354.999450104
stay new,316.66667584
stay house,310.073164581
willing,310.073164581
good experience,300.543062125
nice place,285.532336875
