name,count
cosas,60.0027880782
todo,51.9310662842
se,46.438646059
cuarto,45.0837515775
lo,41.4420901173
como,41.221163888
casa,37.3269829436
sin,37.0209829655
alguien,32.0405280557
hospitable person,31.6884210844
bronx,31.6771086233
sin problema,31.3471499108
se muestra fotos,31.0160674729
super amable,31.0160674729
muestra fotos,30.6945829915
como se muestra,29.4944469369
se muestra,27.9073958981
mas,27.4518475902
amable,26.9918461981
muestra,26.9629585018
feel home place,25.2857408035
neighborhood little,25.2857408035
noisy,24.7326983328
wish best,24.7168757006
metro stop,23.4930674106
nuevo,23.4930674106
money,23.3403101595
hace,23.3287616198
room comfortable,23.0992094604
tal como,23.0072771384
noisy night,22.849963323
improve,22.849963323
sus,22.5418757887
uno,22.2421159725
little noisy,21.9502454955
como se,21.8071410837
cuando,20.8540018917
staying room,20.8540018917
comfortable good,20.7242876875
transfer,20.596073103
como casa,20.3440068429
house good,20.220090045
tal,19.8564365469
not clean,19.8564365469
problema,19.8564365469
todo lo,19.3894017282
room small,19.2756526486
fotos,19.2756526486
tiene,19.163058402
home place,18.8319759641
te,18.8319759641
