name,count
bronx,49.3425010507
todo,21.2872356831
habitacion,15.8436715268
cerca,15.4036467171
room clean,14.0317653886
stay bronx,13.2236158995
barrio,12.7723414099
bano,12.4327262982
lo,12.231118556
pero,11.7142542534
buena,11.3169082334
gracias,11.1265932569
casa,11.0165957467
old,10.7391789136
fridge,10.6307930529
por,10.528035797
fue,10.528035797
second,10.5238240415
sido,10.4540211241
four,10.1925987967
etait,10.1925987967
anfitriona,10.0071352134
amables,10.0071352134
room nice,9.97780379887
comoda,9.70895488529
se,9.51790974264
mins,9.51790974264
mind,9.37125511455
map,9.26337330031
seguro,9.26337330031
verdad,9.25730729065
fridge microwave,8.91897360392
wifi,8.90400544599
economica,8.815743933
excelente,8.80208383836
washed,8.72863666102
speaks spanish,8.69449415154
enjoyed experience,8.66710908915
mini fridge,8.66710908915
bathroom kitchen,8.56172152988
seems,8.56172152988
nice welcoming,8.51489427325
bronx zoo,8.46705655903
sus,8.31619358682
por todo,8.26052597401
exactly like,8.11060994757
propre,8.11060994757
je,8.11060994757
etait propre,8.09792816398
help anything,7.99301199435
really enjoyed experience,7.96974334491
