name,count
father,54.0912828461
couch,33.5212184637
bronx,26.6705215814
living room,21.9276882371
sofa,19.4769412867
dog,17.3939682032
sleep,16.8121422222
one night,15.6395954777
air mattress,13.9590407345
sleeping,12.4942078363
fine,12.3797518036
cool,12.1923691819
sofa comfy,11.9054826716
por,11.532939864
estacion,11.4951605699
mattress,11.4084358181
step,11.1632968558
dad,10.9449341312
upstairs neighbors,10.4455833611
lo,9.76979964174
park,9.75389534552
stay room,9.71771720599
room clean,9.6069384127
40,9.36431702727
slept,9.123097362
talk,9.02904809763
look,8.84491448172
casa,8.79968031432
fun,8.75475703712
peaceful,8.75475703712
hasta,8.51214601586
share room,8.47994795628
flexible,8.448653093
couch comfortable,8.38691832254
mais,8.28518270863
neighbors,8.28518270863
picture,8.24124089612
qui,8.19764104671
directo,8.1848040527
midnight,8.15437787903
unfortunately,8.15437787903
dans,8.11144623314
towel,7.83712609356
slept living room,7.83418752083
slept living,7.83418752083
calm,7.73918408369
peu,7.70435524185
travelers,7.57525594809
bad,7.54258312656
downtown,7.50407746038
ok,7.42785108216
