name,count
bronx,54.2910534866
junior,48.1136852681
building,26.7103037087
hospital,19.1615482894
friend,15.0984427721
trains,14.2665888437
apt,14.0454163531
zu,13.3066619625
respectful,12.9467017223
ete,12.8765273711
comfortable place,12.2700617777
respectful space,12.0311761685
nothing,11.4060555774
almost,10.9495735829
book,10.894221659
would sure recommend,10.6919300596
ticket,10.6582536701
close station,10.5867385528
couch,10.4710696732
zu konnen,10.4122419271
granola bars,10.2806833238
manhattan literally,10.1540903977
express,10.0812471464
felt welcomed comfortable,10.0321018848
metro station,9.97390679532
go go,9.91439456507
location close transportation,9.91439456507
des,9.66182127764
hostess,9.56093774013
movie,9.52051627937
place extremely,9.40212324953
apparment,9.3808415676
mins,9.36361090207
schon,9.34395529976
host helped,9.22959874957
provide,9.17192275216
kind person,9.11778366761
allways,9.09720950239
shared,9.03166756381
something,8.93976710172
makes,8.89428469821
front,8.84910857583
gracious,8.84910857583
right front,8.84865686748
walking metro,8.83570198034
line,8.80423463713
neat,8.80423463713
block,8.71537732721
hosted,8.69383014031
would sure,8.67204442955
flexible,8.6713861609
