name,count
loft,136.928242836
williamsburg,60.1842965761
rooftop,31.3343056264
view,31.1055776081
loft perfect,30.9556858895
building,21.8683451315
places eat,17.7746157761
area also,17.4778553883
answered,17.0420568236
loved loved,16.8966876294
amazing host,16.5203849343
industrial,16.224688924
store,15.9389349375
district,15.9381213244
eat,15.8581084019
quickly,15.8581084019
view rooftop,15.3389457699
artists,15.3389457699
rooftop view,15.2031701457
east river,14.9404434919
needed well,14.6886670197
experiences,14.6223888151
one best,14.380704052
fantastica,14.3296449149
gorgeous,14.3015538413
shop,14.3015538413
festival,14.1016268728
better described,13.9907657622
grocery store,13.692071017
communicate,13.5458962107
nice stay apartment,13.4650638174
clear,13.4020417377
unbelievable,13.3651977254
super clean,13.260435083
clear directions,13.1702853059
month,13.1210070789
hip,13.0751374969
view manhattan,12.7088580206
coffee shop,12.3635205445
throughout,12.2635364036
stay like,12.1979824906
downtown,12.1385324698
end,12.0766711954
river,12.0368593152
highly recommended,12.0152293227
location clean,11.8799216343
amenities,11.8333641927
cool,11.8333641927
friend,11.6550769705
responsive,11.6550769705
til,11.6519035922
