name,count
beach,337.637066013
porch,120.959062142
us borrow,102.61038219
borrow,81.2532697864
weekend,71.7832478833
keep,71.7832478833
front,71.0552911745
home house,68.817802959
lovely home,64.6854349774
mind next time,58.0331837595
beautiful plants,58.0331837595
keep place mind,58.0331837595
know find,58.0331837595
rent house,58.0331837595
low,57.9432606868
definitely think,57.2350082565
things home,57.2350082565
access shops restaurants,57.2350082565
close favorite,57.2350082565
transportation near,56.4708081509
process even,56.4708081509
next week,56.4708081509
going felt,56.4708081509
house hosts,56.4708081509
useable,55.7378087348
cooking,55.4440274741
easy communicate friendly,55.0335619144
quiet feel,55.0335619144
easy check process,54.3558968786
photos cozy,54.3558968786
staying wife,54.3558968786
nice weekend,54.3558968786
let us borrow,54.3558968786
relaxing,53.9659594149
near enough,53.7028797427
nicely decorated everything,53.7028797427
house simply,53.7028797427
helpful clear,53.7028797427
lovely deal,53.0727802771
communicate friendly,53.0727802771
perfect weekend getaway,53.0727802771
gorgeous home,53.0727802771
quiet full,53.0727802771
something keep mind,51.8752704752
vacation,51.7207293273
easy get public,51.3051910951
something keep,51.3051910951
responsive gave,51.3051910951
get public transportation,50.7526554314
helpful letting us,50.7526554314
feel home comfortable,50.7526554314
