name,count
ferry,100.541631036
staten island,89.0075779117
staten,89.0075779117
beach,72.2068437642
island,57.8630815374
spot,32.1461564097
yep,31.0273475181
gave ride,29.4236045665
alarm clock,29.0612920549
хорошии,28.3752758462
basketball,26.0364692334
wallet,25.7804502717
even gave,25.6282781878
front,25.3263974097
play,25.028182477
stops right,24.8196348475
congenial,23.5377145031
time looking,23.5377145031
alarm,22.5864277567
clock,21.2368210537
rides,20.927112192
st station,20.6270833333
highlights,20.6270833333
australia,20.4805134313
internet,20.2039174285
let us know,20.053770194
amazing host,19.6877254903
statue liberty,19.382157802
statue,19.0006449998
states,19.0006449998
gracious,18.9947980573
computer,18.8767704798
20,18.7077411137
liberty,18.6337159254
felt like,18.5195003528
using,18.5195003528
us know,18.2802965521
charge,17.3969020482
fans,17.2919814181
sure stay,16.2077374216
front door,16.1149817039
comfy bed,16.0231136143
heater,15.9321163254
spending,15.7526691923
room described,15.7526691923
walking distance could,15.513673759
around city really,15.513673759
got money,15.513673759
host comfy,15.513673759
general everything,15.513673759
would stay awesome,15.513673759
