name,count
staten island,120.787472526
staten,120.787472526
island,92.799820543
mall,66.3376641942
ferry,50.7420466686
russian,45.1921514162
police,45.1589065321
delicious,37.9777412826
health,35.3692215637
development,33.9761947751
helped figure,30.7945145352
wonderful couple,30.7945145352
couple made,30.7945145352
actually,29.146003776
room private bath,28.9085843473
room private,28.1187482103
two days,27.7890722321
hearts,27.5575194558
offered coffee,26.82211439
breakfast provided,26.82211439
cooked,26.0881859087
townhouse,25.9144049078
delicious breakfast,24.8787223613
island ferry,24.8787223613
busses,24.8787223613
lovely couple,24.6831362198
come go pleased,23.7556692794
pleased,23.5190805445
nice couple,23.4061577822
go pleased,23.2356078133
cultural,23.0677437827
department,22.9024824002
private bath,22.1125547314
attached,21.961358641
pleasure,21.4153432022
asked,20.9831893688
ready,20.7714151672
pleasure staying,19.9183477037
clean private,19.9183477037
parking spot,19.9183477037
careful,19.4337576369
figure,19.4337576369
beautiful place,19.3159758236
stay lovely,18.7458321402
locked,18.6353736839
come go,18.4178325487
parents,18.0996254664
english,18.0996254664
good place stay,17.9956329767
behind,17.9956329767
right away,17.4903656083
