name,count
village,30.9765964145
soho,28.6355255951
east village,26.3846712656
loft,24.7040713824
east,23.5047172079
bars,21.7267727273
flat,16.2844507628
building,12.7980823717
nolita,12.4460294284
shops,12.2900254104
shopping,12.02754339
noise,11.4881108522
responsive,11.143117193
keys,10.8958197339
restaurants bars,10.8720875588
apartment location,10.6127825602
perfect location,10.4497621391
bars restaurants,10.3983455928
floor,10.3567172089
apt,10.0169292406
nic,9.78034425637
stay apartment,9.7513943814
bar,9.44105053703
location perfect,9.0891132147
cool,8.45661011229
whole foods,8.37202678051
couldn,7.87897175266
stairs,7.8639711878
union,7.71001418227
little italy,7.4128215715
equipped,7.30528272139
union square,7.26525880923
perfectly,7.09625060011
italy,6.85222417906
studio,6.8428543782
recommend apartment,6.80248268225
decorated,6.75368051623
size,6.68391635788
stations,6.55706791126
apartment perfect,6.49138609471
square,6.39476704506
key,6.28671473045
photos,6.27693962929
worked,6.24483845538
cafes,6.14812748486
flexible,6.10885310008
location apartment,6.06358040713
central,6.05031006773
cute,5.95476184611
foods,5.9189580793
weekend,5.8314103591
