name,count
studio,39.3699714506
private entrance,28.309786339
entrance,22.853109648
home space,16.6403921729
man,16.0677754301
daughter,15.8176088242
every morning,14.8058712065
gas station,14.499043055
second,14.4235679409
bigger,14.2373019041
reservation,13.5555358108
comfortable bed couch,13.41715748
war,13.2683986585
extra amenities,13.1076461355
stop takes,13.1076461355
eine schone,12.8181176086
fresh bagels,12.8181176086
bronx,12.8135416641
feel comfortable,12.7870120129
time experience airbnb,12.6800717897
station corner,12.6800717897
comfortable bed,12.6540870593
liked,12.5883558477
corner,12.3940030443
hideaway,12.2897269947
welcome safe,12.1668114941
spacious airy,11.9306445919
soon,11.8349957649
good energy,11.8170654841
extra,11.7153637224
amenities,11.7153637224
park,11.7153637224
host little,11.7062910874
ai,11.3607849928
hour away,11.2886748702
haben,11.0418057191
commute city,10.9066454347
back new,10.8574324682
non,10.8574324682
refuge,10.8160133597
dryer,10.6779764281
eine,10.6779764281
colors,10.4707557294
burger,10.4707557294
hatten eine,10.3884390138
man kann,10.3884390138
apartment private,10.3884390138
teas,10.3076055633
basement,10.276969127
open arms,10.2282028687
first time experience,10.0734932228
