name,count
bronx,41.1959318946
hospital,25.7474574341
room exactly,14.0720819438
playful,13.2609731038
reach,13.1426811579
wife,12.742686357
highly recommended,12.5488542928
second place,12.4327798071
felt like,12.1727067163
medical,12.054068051
nosotras,11.001564686
accurate,10.701527802
rotation,10.5851495022
host family,10.3645431531
center,10.325241533
went new,10.1183723265
etait,10.1053583896
make feel,10.0514871027
stay room,10.0514871027
generous,9.94501544193
felt like home,9.84019457124
home apartment,9.45593491387
bed super,9.40046110877
last minute,9.33916459794
rest,8.963467352
truly,8.91793983497
park,8.82779435641
amable,8.77569249542
stay bronx,8.74028829063
friend,8.69479051166
sleep,8.69479051166
garden,8.67823673116
building extremely,8.62007630929
chez,8.48844011395
couch,8.44201366079
bronx zoo,8.39458539874
interview,8.30096611579
room looks,8.13537224865
nice person,8.12772990572
confortable,8.04118968215
home apartment nice,7.99320957349
terrace,7.97627395766
big bed,7.92459827236
family nice,7.92459827236
choose,7.91392149066
many times,7.87357261294
room spacious,7.87215565699
building,7.83070987117
bed super comfortable,7.67565597368
walk reach,7.64377914925
comfortable bed,7.62811507861
