name,count
airport,57.1737664921
jfk,38.7481110154
us airport,15.4335582615
queens,14.7078498699
casa,14.3216805583
dropped,14.0244734531
jfk airport,14.0047904229
partner,12.9301311298
flight,12.6610630454
close jfk,10.990942179
picked,10.9492383352
dog,10.2227234259
drop,9.97466331005
friend,9.12071506415
guys,9.03760374461
por,8.60297297762
como,8.28447009923
drove,8.24042019899
sehr,8.15335150003
das,7.86363340451
der,7.45155981066
croissants,7.3894242586
nice clean,7.38772049393
charge,7.34386612838
us ride,7.32801959869
stay queens,7.31747888056
felt like,7.16627612183
close airport,7.15912381468
uns,7.15520599489
decorated,7.10734131727
one night,7.070499612
husband,6.92575513214
house room,6.92134111525
beyond,6.75045348265
make stay,6.74216198099
highly recommended,6.71610953994
pick,6.67092395457
care,6.61445304204
man,6.53170272689
room clean,6.51479647439
molto,6.27334327924
dropped us,6.263404491
beautiful house,6.26222353442
next morning,6.23621206559
haus,6.13643617909
neighborhood quiet,6.10652867114
15,6.07540813438
taxi,6.02506916307
war,5.993032872
close jfk airport,5.9891188268
neat,5.98330114452
