name,count
bronx,33.0042342202
living room,26.6030130548
baby,22.6293339247
wife,20.7417665958
felt like,17.3372399796
line,15.1645899228
ask,15.011540314
felt like home,14.0151092689
wonder,13.5929186516
room comfortable,13.3705335645
cute,13.3705335645
traveler,13.310601785
crash,13.0054773703
matelas,12.7807010525
late night,12.5096169283
hospitable,12.5096169283
however,12.5096169283
wife baby,12.4485440352
bathroom since,12.4485440352
room perfect,12.4292548758
room clean,12.3837428426
sleep,12.3837428426
opportunity,11.7647582893
always answered,11.7431385096
stay room,11.4528377697
manhattan 40,11.2539227242
40,11.0363371834
answered phone,11.0053402072
family super,11.0053402072
answered,10.8645073599
everything pretty,10.7718328256
first room,10.7718328256
room lock,10.7718328256
one night,10.7520471969
talk,10.6412052219
mind,10.5863766321
bed bugs,10.5516762102
bed would definitely,10.5516762102
home awesome,10.4461437956
accessible,10.2653558346
nice clean,10.2131293
sleeping living room,10.1458599363
staying felt like,10.0507515935
like staying family,10.0507515935
stay not,10.0416070534
close metro,10.0416070534
used,10.0076935427
flexible,9.95717936589
using,9.90699427405
speak,9.75410802773
lock,9.69828596772
