name,count
bronx,47.9022105723
ms,30.4041361508
snacks,20.7050116745
drinks,14.7244314221
nice clean,14.5916801278
chocolates,13.4169304122
later,12.897569378
shining,12.5441953823
45,12.4745632578
travel,12.2555746238
soda,12.1946398483
using,12.1322567589
complimentary,11.9755526431
fruits,11.7522467632
mrs,11.5647934783
first time using,11.5639627976
sehr,11.5027842636
time using,11.3818372327
stay apartment,11.0873682776
milk,11.0604377618
justice,10.9952649344
recommend anyone,10.8035323238
sheets,10.8035323238
actually,10.7479744817
clean well,10.6380230118
hot,10.5836186289
quite neighborhood,10.3575964028
apartment everything,10.3196859331
mother daughter,10.1631183203
looks amazing,10.1631183203
stay bronx,10.1631183203
another,10.1614284918
fruit,10.0909653981
yes,9.92472343125
sheets pillow,9.76113851401
50 mins,9.76113851401
60 minutes,9.76113851401
change,9.65706084271
good sleeping,9.63780659771
time using airbnb,9.60486866303
miss,9.60486866303
food drinks,9.52304235465
nice apartment everything,9.40476957507
spacious clean,9.40032635694
apartment nice,9.35021356943
sleeping,9.35021356943
first came,9.29442278711
2nd stay,9.29442278711
pillow,9.27473022529
using airbnb,9.25117023812
kill,9.18781729737
