name,count
bus routes,143.738217876
ferry,119.122113741
routes,113.365542984
feel home wonderful,101.093634056
house including,101.093634056
room ground,101.093634056
warm friendly person,101.093634056
bus ferry,101.093634056
transport bus,99.7032146961
junction,99.7032146961
area ok,98.3719803779
neighborhood well connected,98.3719803779
kind enough accommodate,98.3719803779
ok close,98.3719803779
made feel ease,95.8683016949
willing go extra,94.6878112117
sheets towels clean,94.6878112117
hosts made stay,92.4526258959
check make sure,92.4526258959
room offers,92.4526258959
offers good,92.4526258959
private rooms,91.3922095917
problem one,91.3922095917
location bus,91.3922095917
month,90.5730900162
home wonderful host,89.3734907814
huge space,89.3734907814
check make,87.4771959444
good privacy,87.4771959444
big house,87.4771959444
big group,84.8323012869
around help,83.1856429322
go extra,83.1856429322
delis restaurants,82.3937199952
stayed apartment one,81.6213527232
willing go,81.6213527232
host always willing,80.8675985343
amazing friendly,79.4124856968
wonderful host always,78.709550829
spacious home,78.709550829
person made feel,78.709550829
extension,78.709550829
home convenient,77.3493676099
clean although,74.7945371817
always around,74.7945371817
outside house,74.7945371817
feel ease,72.4327149106
enough accommodate,72.4327149106
tvs,71.8691089378
better photos,71.8691089378
close not,70.7714775367
