name,count
prospect,55.5026860379
prospect park,41.2618480678
park,32.0324906372
museum,16.529133416
brownstone,14.1174881994
heights,13.7836631396
park slope,13.4643902303
bars,13.1798788014
shops,12.8867611045
slope,12.6815480335
garden,9.63119084323
lines,9.36210718094
building,8.78506037268
cafes,8.16772931358
responsive,8.05528686347
light,7.39723056406
stations,7.33228293983
botanical,7.23577962151
apt,6.92106009799
corner,6.71451978217
stay apartment,6.67138357007
keys,6.48929766445
barclays,6.46035927585
block,6.44192191337
several,6.36610145513
floor,6.34522726498
gardens,6.24458836714
restaurants bars,6.1420448094
botanic,6.11525286117
flat,6.06989801585
old,5.95102921439
perfectly,5.91778445124
eat,5.82258973494
center,5.72952633049
charming,5.66249887432
equipped,5.53380896652
dans,5.52608636346
flexible,5.39739460322
recommend apartment,5.36370723908
botanical gardens,5.33274054965
cool,5.3245496405
subways,5.29312401662
decorated,5.26361289468
park museum,5.16452157353
couldn,5.16041814691
easy access,5.15599904284
gracious,5.12073331988
highly recommended,5.10362443247
bars restaurants,5.06367537082
barclays center,5.02724570625
living room,4.86690024479
