name,count
ferry,97.8670470075
staten island,63.5358679708
staten,63.5358679708
studio,41.9156582347
island,41.3041360658
staten island ferry,27.3106133842
island ferry,26.6577856988
bus ferry,18.4567567321
bus stop,16.8901909826
husband,14.0535980952
wedding,12.3434551766
der,11.7604277775
responsive,11.7508349729
showed us,11.6982098559
hostess,11.3941822512
detailed,11.2446550448
cups,11.013408302
victorian,10.9217439628
studio apartment,10.8741163342
harbor,10.5016578297
old,10.4923864965
extra,10.4392636261
via,10.4392636261
house beautiful,10.2244748831
everithing,10.0113353055
house gorgeous,9.5824747437
verry,9.48315148403
information house,9.38662643811
later,9.36906539678
clean well,9.27322012718
front,9.03931260549
beds,9.03931260549
not safe,9.02561784668
mit,8.91344697597
snug,8.85844261665
parking space,8.75467010954
like pictures,8.3558641828
une,8.13870160801
keurig,8.12664964248
decorated,8.01226055598
ca,7.94033414391
half,7.92949551952
nicely,7.88855851586
sheets,7.84791288124
floor,7.76747933246
extra towels,7.75248781981
look,7.72768343931
entire,7.60993313246
think,7.60993313246
never met,7.58183264164
hotel,7.49456178318
