name,count
fer,39.0630658675
queens,22.2088485074
shopping,13.8350777557
building,13.3610207474
park,10.9543853497
cats,10.0031259002
mall,9.57224483755
shops,9.35861011677
room clean,8.09200593783
responsive,8.09200593783
mins,7.61127714828
room spacious,7.32640196845
stay queens,7.27121195994
airport,7.15658420694
open,7.04859738627
friend,7.01307181279
highly recommended,6.67364495452
amenities,6.57263120984
por,6.4761955614
bright,6.4761955614
se,6.44031143316
cute,6.40699569905
living room,6.37391878946
spot,6.1802871989
room nice,6.13772691515
neat,6.05557125203
really good,5.91606667883
shopping mall,5.86560247404
flat,5.82454154459
someone,5.79447162678
25,5.73458122437
think,5.5898097896
balcony,5.52132533484
wifi,5.47719267487
flexible,5.42199798944
felt like,5.39467062522
still,5.39467062522
30,5.39467062522
stay apartment,5.32446001095
christmas,5.32104443398
blocks away,5.26934571804
malls,5.20840878233
tips,5.1881541584
casa,5.08254553738
pleasure,5.05659861728
conveniently,5.05659861728
feeling,5.04283866452
makes,5.00523371589
hills,4.95937571233
description,4.90455409569
room big,4.90085529458
