name,count
jfk,54.635077196
airport,33.3188029635
flight,19.2582562123
close jfk,15.3011284239
queens,15.2563676477
room clean,12.0928349771
jfk airport,11.7793658829
jamaica,11.6261984856
close airport,11.2955159429
taxi,8.73734210766
near jfk,8.53937908997
directions,8.28752753147
luggage,7.74602723649
block,7.63484508807
one night,7.21838540044
husband,7.07061346104
rooms,6.89164522162
rest,6.8565829448
hotel,6.78716356664
wasn,6.75280021083
layover,6.62441251268
studio,6.37656470385
flight jfk,6.37547017662
stocked,6.2018113226
fridge,6.10787607046
travel,6.10787607046
clean spacious,6.09404323953
washer,6.09277545665
shared,6.01306046914
computer,6.00898578029
dryer,5.96833401943
room comfortable,5.87540020036
printer,5.86365511136
washer dryer,5.8571498442
next morning,5.7878618072
hostess,5.69538960224
waiting,5.66567729153
beyond,5.63861881769
wifi,5.52501835431
kids,5.50339576786
house clean,5.49708846341
organized,5.38854068625
computer printer,5.31829983904
money,5.27708922382
gracious,5.27135751134
get jfk,5.20019508254
checked,5.08965911901
guest,5.03777951509
une,5.02534376668
overnight,5.02041415217
value,4.99912702194
