name,count
ferry,137.101594279
staten island ferry,114.77802029
island ferry,112.034388418
staten island,98.8968544465
staten,98.8968544465
airbnb recommend,77.5680124383
house helped,77.5680124383
really helpful would,76.5011592461
beautifully maintained,76.5011592461
running marathon,76.5011592461
trips,76.1677310011
local store,75.4797180731
exactly pictures showed,74.4999802034
store could,74.4999802034
convenient possible,74.4999802034
clean tidy quiet,73.5586734788
used public,73.5586734788
back comfortable,72.652896361
minute walk bus,71.7800639909
documents,71.7800639909
house beautifully,71.7800639909
stay casa,70.9378637182
meet available,70.1242181723
person makes,69.3372543911
new still,68.5752778533
nice quiet apartment,68.5752778533
always get,68.5752778533
casa comoda,68.5752778533
available anything needed,67.1202720769
able meet person,65.7484561411
como fotos,65.7484561411
friends looking,65.7484561411
possible even,65.090874048
tidy quiet,65.090874048
new adventure,65.090874048
size us,64.4508295844
helpful would highly,64.4508295844
could pick,64.4508295844
island,64.292017454
phone,63.9643677859
apartment top floor,63.8274115468
express bus,63.8274115468
available anything,63.2197779524
needed home,63.2197779524
walk bus stop,62.6271492007
home available,62.048802059
almost instantly,62.048802059
quiet neighbors,62.048802059
family group,60.9323102865
decorated really,60.3929562403
place exactly pictures,60.3929562403
