name,count
daughter,41.4185255232
cats,24.8634765863
room clean,18.8841095875
stay long,18.3664049143
neighborhood safe,14.262707923
downtown,13.6159111125
long place,13.5126638271
starbucks,13.4132724973
bronx,12.904751338
mins,12.6122449493
spot,12.1030321
hostess,11.2682787374
service,11.2682787374
safe quiet,10.8739365192
mr,10.8224158691
bir,10.6568453626
cabinets,10.4623862612
store,10.4293349377
place perfect,10.4063647454
hotel,10.3764476516
ar,9.84882560271
someone,9.36166976093
guest,9.07727407501
express bus,9.01167720431
gracious,8.93942994658
quickly,8.8940979871
neat,8.8940979871
directions,8.84906723887
comfortable room,8.81495510796
jag,8.68082423773
inte,8.60292307502
super nice,8.4867872912
express,8.4867872912
parking spot,8.44274590981
convenience,8.39642399443
building,8.1766458515
place long,8.16975313308
providing,8.13369822581
buses,7.96510106215
five,7.88265309333
room comfortable,7.84187612512
living room,7.80139146744
good experience,7.80139146744
recommend anyone,7.76119495924
attentive,7.72128252767
told,7.64229402943
att,7.55194717806
detailed,7.4136025185
nice place,7.41174832258
shops,7.41174832258
private bathroom,7.37196103986
