name,count
beach,247.570388696
rockaway,108.264240025
surf,87.0052380553
weekend,47.0716323411
getaway,36.22981298
surfing,28.8126732136
boardwalk,28.4746121993
cute,26.75361922
adorable,23.4934668974
club,23.0360730183
bars,20.8413936263
summer,20.7028454467
steps,20.0489397042
wish could,19.6497887806
outdoor,19.4500109881
spot,19.3552163318
view,18.8947351155
wish,17.7436668961
ocean,16.75911559
block,16.6873184866
escape,16.3175703694
cottage,15.5679841306
next summer,15.1488611892
airy,14.9090464051
cooking,14.8734169649
flexible,14.5277025893
chill,13.8717184363
hanging,13.7910330809
shack,13.763132557
spots,13.632055108
wonderful time,13.5870088653
decorated,13.5164316241
super cute,13.1426439101
serenity,12.9353513212
proximity,12.7391217743
rustic,12.5693366925
instructions,12.4622624322
felt like,12.3895556946
bars restaurants,12.3073776641
dream,12.3073776641
location perfect,12.2607089519
relaxing,12.0640919749
walked everywhere,11.9114693888
charming,11.8092094472
property,11.6232213927
lovely family,11.6134232929
backyard,11.4989117561
outdoor space,11.4245020135
close everything,11.0328264648
beautifully,10.5385441604
loved outdoor,10.3786560871
