name,count
island,102.381944857
view,24.8590599705
river,18.1293548006
dog,15.7402642686
views,12.1295460974
peaceful,10.795375138
building,10.5398653229
east,10.2409431464
une,9.26342088309
se,9.07223445325
east river,8.35810766163
guys,8.1173729151
je,8.1173729151
cable,7.77226500116
husband,7.46466944756
girlfriend,7.46332930417
appartment,7.42332988567
avons,7.3836517511
room clean,7.35610106235
rules,7.33515659822
line,7.16542246166
wasn,7.12914398404
queens,7.10467805946
du,7.07720304937
roommate,7.02462296567
close manhattan,6.88744541754
cute,6.85923087288
manhattan island,6.61388337025
war,6.53626645099
living room,6.46467086192
cool,6.45017789032
middle,6.42243932392
des,6.36559228903
square,6.33223430733
confortable,6.18466507817
store,6.17309451985
flat,6.13720657047
wifi,6.11069484346
midtown,6.08713882147
sehr,6.08678016679
tips,6.07406390238
still,6.01862814192
chambre,5.98840134522
notre,5.95603666158
window,5.86052359395
rest,5.85990865122
vous,5.84030361815
one stop,5.83811182104
mais,5.76729392735
however,5.74203735671
travel,5.74203735671
