name,count
staten island,216.69917491
staten,216.69917491
welcoming host location,161.179078339
host location convenient,159.194372605
safe convenient location,157.281854199
working kitchen,155.436455726
restaurants clean,155.436455726
grocery pharmacy,151.929259036
outlined,151.929259036
transportation room,150.25964388
coffee restaurants,150.25964388
good public,148.641409735
snacks coffee,148.641409735
exactly described website,144.065615404
local tips,144.065615404
neighborhood safe convenient,142.624745542
place without hesitation,142.624745542
island,140.874320155
us lot useful,139.856292662
convenient good,135.959068522
hospitable kind,133.512652534
lot useful information,133.512652534
host staying,132.33083965
room clean comfy,131.17500279
staten island ferry,125.748702695
apartment really close,125.748702695
kitchen room,123.725820219
described website,122.742829727
island ferry,122.742829727
place without,122.742829727
strongly recommended,121.77787678
kind room,119.899517817
nice gave us,117.202082449
comfy apartment,116.332831912
lot useful,116.332831912
venture,115.477716158
beautiful room,114.636282845
apartment welcoming,109.095535567
really beautiful,109.095535567
bathroom really,108.349587455
nice gave,108.349587455
reception,107.614072526
morning coffee,105.467306695
generously,103.404749784
gave us lot,102.734824035
would stay place,102.734824035
not working,102.734824035
safe convenient,100.774778775
ferry,100.13733509
host location,98.8851697401
useful information,97.0611096563
