name,count
airport,98.4093897912
jfk,56.9303255196
husband,46.2990053278
us airport,46.0598559898
close airport,34.1850615476
close jfk,32.8013284674
drove,32.1940545031
dropped,26.7869365345
picked,26.1414941322
mum,24.7494537307
dropped us,23.9263768657
african,21.9672408997
drove us,21.563629727
picked us,20.7891701345
even took us,19.2987781036
even took,18.9018459336
took us,18.1747105485
upstairs,17.8855858351
even drove,17.7920046962
wedding,17.4278611209
served,17.3232592412
cooked,15.7872765603
hospitable,15.7122881666
cab,15.4385692847
next day,15.3533213356
even drove us,15.2146368372
basement,14.7767332533
sure felt,14.6508465208
og,14.5534398942
takes 15 20,14.4688882478
food delicious,14.2991238181
minutes jfk,14.2991238181
det,14.268827544
us breakfast,14.1763844502
recommend place anyone,13.8618241567
airport early,13.822891436
super neat,13.822891436
var,13.7310493543
place anyone,13.6460030235
dinner,13.6460030235
one night,13.5047511771
kind hospitality,13.3893666471
lovely lady,13.2530818653
hvis,13.2530818653
casa,13.0260029426
even dropped,12.9915160127
pleasure,12.9595038517
rooms,12.8934586831
fine,12.8278612817
faucet,12.7433698354
neat,12.6979857795
