name,count
amazing host helped,202.086367715
extra air mattress,199.306916757
convenient safe location,199.306916757
us greatly,196.64577681
host accommodating last,196.64577681
provided us extra,187.007143155
extra guest,184.812975886
nice laid back,180.642940908
nice laid,178.657778906
beyond accommodating,176.733708606
extra air,176.733708606
request apartment,174.867081902
overall amazing experience,173.054568011
apartment described comfortable,173.054568011
needs nice,167.912437582
helped us,165.797236802
extra,163.287693687
blankets pillows,163.16124011
spacious convenient,152.01585039
even provided us,147.109228153
us overall,147.109228153
overall amazing,142.559778473
accommodating last minute,140.403449239
accommodating last,140.403449239
disposal,137.302283895
responsive needs,137.302283895
also helped us,136.301824936
person host,134.347686181
seven,132.452772958
host helped us,131.52642489
us extra,130.613600635
convenient safe,130.613600635
last minute request,129.713910999
minute request,129.713910999
described comfortable,129.713910999
accommodating us,127.952460688
residential area,125.399969511
also helped,120.587799483
neighbours,119.820583097
safe location,118.313827033
house well,117.573849746
air mattress,116.842527363
host helped,114.698522433
comfortable spacious,113.999885545
experience would definitely,113.30896856
quite nice,113.30896856
def,112.625602731
us even,111.28087669
laid back,110.619205426
even provided,108.675193377
amazing experience,107.411971607
