name,count
boat,58.8896267457
coney,19.3017774532
coney island,18.2985755644
beach,16.770858339
dog,13.0307194264
island,12.6488064883
said,11.4176663941
friend,10.7955801868
russian,10.3803754382
deck,9.04835369731
told,8.5193768531
fun,8.43253765886
restaurant,8.26802419263
hospitable,8.17898358998
lobster,8.03995981681
attentive,7.89014473578
upstairs,7.7585725416
old,7.57384110746
cool,7.53549480944
relaxing,7.095592527
очень,6.94910978678
shops,6.88531009769
completely,6.87247355646
rides,6.86196583667
book,6.81581965832
giving,6.80038351
feel like,6.78141657457
party,6.77203468388
first airbnb,6.69427103711
beaches,6.59994392603
airbnb experience,6.42243734668
basement,6.4099861157
до,6.39820665674
enjoyable,6.38953263983
think,6.2921723591
beds,6.22836319448
booked,6.19677908792
charming,6.17393895334
view,6.17393895334
fresh,6.07251385507
hostess,5.98166894716
service,5.98166894716
prepared,5.85821413009
us station,5.84629247819
mind,5.76794912047
go back,5.73828708057
different,5.70883319704
advertised,5.6505383547
guest,5.62169177257
fine,5.56458665797
looks,5.50824807815
