name,count
ferry,162.588480219
staten,108.904308473
staten island,106.111890307
island,74.4284349317
husband,37.0595607222
marathon,32.4022027674
island ferry,28.4702862257
staten island ferry,25.9266671893
ferry manhattan,24.3210915978
bus ferry,21.9018418983
start,21.5848333866
bridge,17.6188440688
dogs,15.1018663447
express bus,14.4176738068
view,13.9555954266
buses,13.380432706
flat,13.1734293089
transport,12.7072937688
apartment exactly,12.3523476846
exactly described,12.2011855495
friend,12.2011855495
mint,11.6176102478
apartment exactly described,11.375377198
stocked,11.2915108362
mile,11.1826638869
floor,11.0608016407
hosts helped,11.0273035567
planning,10.9339523736
nice friend,10.9188710815
15,10.8364576557
us husband,10.710313734
running,10.6940466806
fridge,10.5644606045
another,10.5111361268
public transport,10.2383033504
express,10.1834315681
directly,9.91554577608
stay apartment,9.55745193282
think,9.03038137971
something,9.03038137971
apartment everything,8.89570002524
added,8.89570002524
takes directly,8.863322313
3rd floor,8.863322313
airbnb experience think,8.7607367593
hosts husband,8.7607367593
spend,8.7592801057
felt like,8.71513253535
garden,8.6985400262
city apartment exactly,8.64024353427
every day,8.55523734446
