name,count
gym,125.105248524
ferry,92.4984136051
husband,83.0166772803
wonderfull host,70.1697095716
message away,62.7937529107
staten island ferry,58.0780160655
place husband,57.1437320655
island ferry,56.6897302639
nice touches,55.3765245505
nice neighborhood,54.4556460964
decorated,51.1159735681
staten island,50.0420994096
staten,50.0420994096
wonderfull,47.1433589099
flat clean,44.0142159762
beautifully decorated,42.4633665734
touches,41.967667956
dark,41.0056257938
message,40.0802418999
beautifully,39.8543017664
year old apartment,39.2496425813
nice stay flat,39.2496425813
clean trendy,39.2496425813
easy arrangements,39.2496425813
husband welcomed,39.2496425813
razor,39.2496425813
even better first,39.2496425813
privacy host,39.2496425813
bus ferry,39.2496425813
nice neighborhood also,39.2496425813
apartment comfortable,39.1888248175
appointed,38.7550920558
exactly described plenty,38.7098117262
back possible,38.7098117262
feel perfectly,38.7098117262
30 minutes,38.541096053
practical information,38.1929594865
hear footsteps,38.1929594865
fast always,38.1929594865
away enjoyed stay,38.1929594865
water clean,38.1929594865
stay flat clean,37.697209241
possible experience,37.697209241
place used,37.697209241
certainly felt,37.697209241
tv apple tv,37.697209241
nice neighborhood felt,37.697209241
ferry terminal,37.2209052681
appreciated kitchen,37.2209052681
backyard nice,37.2209052681
beautifully decorated apartment,36.7625793807
