name,count
soho,96.7850324626
loft,35.6319024291
bars,17.8261537091
shops,17.5397933592
shopping,15.879959181
village,13.1143214511
heart,12.5889052427
flat,12.4196495717
little italy,11.0084087555
building,10.7042066979
responsive,10.3061895003
italy,10.0131504584
perfect location,9.8852568376
apt,9.56162162728
floor,9.5287752261
noise,9.45257463675
apartment location,9.35991068935
restaurants bars,9.18224726218
cafes,9.17295809877
nolita,8.52203365759
location perfect,8.4092474094
stay apartment,8.16681230689
perfectly,7.88669113686
stairs,7.83936015323
keys,7.83583038625
apartment perfect,7.71021189045
light,7.5669604151
middle,7.18396083126
couldn,7.11459533247
photos,6.71642604536
greenwich,6.60518689066
recommend apartment,6.41412051348
corner,6.3920235688
chinatown,6.33200279418
decorated,6.31091015659
cool,6.27830570857
stations,6.17340545554
flexible,6.0479671431
recommendations,6.00450104074
spot,5.99009308482
central,5.95691363511
bars restaurants,5.84547074569
restaurants shops,5.84429535406
tal,5.83175462945
shops restaurants,5.78162785205
key,5.74925024903
restaurant,5.74051923594
location apartment,5.65576969747
appartment,5.32202793979
equipped,5.28997784237
tribeca,5.28720904914
