name,count
bronx,69.2895407975
felt unsafe,27.3665957487
unsafe,24.4312669109
iorque,20.9113270183
sind,20.4823238323
com,20.3593890924
der,20.0724349664
auch,19.0881695875
never felt unsafe,18.6157582035
og,18.2443971658
ele,16.7282307008
sehr,16.638535675
building,16.4635883368
wohnung,15.7187584504
possible,15.2308279688
downtown,15.2308279688
never felt,14.9272088059
eu,14.8433641373
stay comfortable possible,14.7654301161
stay exceeded,14.7007370447
building 24,14.4985463768
unsafe area,14.3049622225
near family,14.3049622225
morning late night,14.1192817036
helpful also,13.9618186526
gave ride,13.9408846789
metro card,13.5929281875
made stay,13.524887408
je,13.524887408
men,13.5037398375
late night room,13.444187214
comfortable possible,13.4157023372
det,13.4157023372
made stay comfortable,13.2429637029
early morning late,13.1408387577
man,13.0330334545
40,13.0330334545
anytime day,12.9964284993
nice kind helpful,12.8564623459
morning late,12.7206749168
stay comfortable,12.6316264793
welcoming helpful room,12.4606875237
danger,12.3360621642
real,12.1225660101
eller,12.0966099801
ran,12.0704617742
park,11.878334371
book,11.8182874061
bed desk,11.7595268247
recommend room,11.6526080567
vous pouvez,11.6524973907
