name,count
staten,81.8584059858
staten island,66.9750594429
ferry,61.8987494796
island,48.3776951786
fruits,33.7469639608
cvs,32.9397852987
room simple clean,32.4073270042
term,26.0232108442
room simple,24.3311587743
dunkin donuts,23.7937435841
neat,23.7007254465
people upstairs,23.3469834045
room clean,23.2254501261
dunkin,23.1162947583
overall decent,23.0258741871
simple clean,22.9533495537
basement,22.0645575709
donuts,21.8765840176
statue,21.4459716494
extra mile,21.168119197
liberty,21.0318198915
plan,19.9573573438
bus stops,19.1697103261
decent place,19.0283476435
mcdonalds,19.0283476435
quickly,18.9605803572
sleep,18.5803601009
iron,18.2936251505
place one night,18.0187398046
mile,17.8807884788
shower room,17.8633839687
places like,17.5623500804
staten island ferry,17.2733608267
island ferry,16.8604617091
kind room,16.4698926494
etait,16.1960081937
always available,16.0240101076
upstairs,16.0240101076
room neat,15.9799579521
via phone,15.7469129698
tout,15.6879939765
term stay,15.5211518479
stops,15.4426479799
goes,15.4426479799
made feel welcomed,15.195212294
supermarket,15.1239293584
certainly,15.1239293584
clean shower,15.0897539547
short term,14.9858130544
mall,14.9858130544
simple,14.8908956046
