name,count
dr,191.889569475
jfk,73.7314788249
airport,67.0465802337
flight,33.461090008
close airport,27.2453429142
due,19.9730057895
close jfk,18.2997596369
taxi,17.1971193346
jfk airport,16.6555523846
15,15.4140443486
airtrain,15.3839528217
next morning,15.2569510849
30,14.8759430809
near jfk,14.5898282295
wasn,13.8448747768
still,13.6362811575
later,13.1786080531
said,13.1109639668
degrees,13.0856593379
hear,12.4942635502
planes,12.4603616542
cab,12.3044714628
cozy room,12.2274308032
near airport,11.5316399635
credit card,11.3963384636
arrived late,11.283293282
light,10.5973841548
left early,10.5832889411
ok,10.2237487269
flights,10.1713007232
asked,10.1202385258
bed comfortable,10.0689998377
via,10.0689998377
sleep,9.9172953873
paper,9.82067545575
insisted,9.61752970226
flying,9.53901658166
daughter,9.5163285682
long flight,9.41542977508
ride airport,9.37393099471
tea,9.08395841026
worked,9.08395841026
noise,9.03758386401
credit,8.99929701189
rooms,8.99152587003
coffee room,8.97645078483
velmi,8.97645078483
not recommend,8.95052781472
front,8.90034245645
dropped,8.89544582809
reply,8.8409862501
