name,count
jfk,69.9334093538
airport,66.2129786561
lirr,40.2797006587
flight,30.9861009732
couch,28.7735087056
close airport,27.4240314707
close jfk,23.6825724776
taxi,20.1948910637
jfk airport,16.7647878097
one night,14.8964991933
near jfk,14.6855156045
drive,13.8276590888
instructions,13.5552395787
jamaica,11.9964262612
crash,11.4663371648
responsive,11.230130205
place crash,11.0153591238
futon,10.4228335075
driveway,10.3212782445
next morning,10.2380091897
cool,10.1350373639
late night,10.0838030567
ideal,9.73023593107
ride airport,9.43540991254
jfk nice,9.40741234664
due,9.38186607385
jfk easy,9.2780248894
place close,9.23758686746
airport place,9.13086277499
15,9.0504967842
helped us,9.00445102685
accurate,8.95871534429
took us,8.74809893252
near airport,8.70545266024
overnight,8.63380927302
close jfk airport,8.60331100423
place exactly,8.56327461475
arrived late,8.51797106297
snacks,8.51797106297
une nuit,8.50463245215
stayed one night,8.43164540251
picked airport,8.40918985206
dijo,8.22720944122
good place,8.08333068867
airport took,8.05594013174
taxi driver,7.97394207524
later,7.95902396518
10 15 minutes,7.8354941773
less,7.79730587099
nice clean,7.71810088016
fine,7.71810088016
