name,count
building,53.0290928191
nice place,48.0684007708
peaceful neighborhood,46.9157568407
encontrar,45.6806695783
location hosts,44.9012532174
unas,38.5225315146
park,35.8687731265
right near,35.5462378064
close manhattan,34.6527181463
couldn ask,34.4359875664
cats,33.5938382633
us find,33.1868543975
hosts nice,32.7887187117
apartment beautiful,31.2774682724
hay,30.7414245331
requests,30.2206258284
hosts extremely accommodating,29.5943513842
recommend close,29.5943513842
demanded,29.5943513842
park plenty,29.1873172569
city nice place,29.1873172569
anything thank,29.1873172569
advertised easy,29.1873172569
even taking,29.1873172569
host spot,29.1873172569
everything need wifi,29.1873172569
cats well,28.7976090764
public transportation neighborhood,28.7976090764
stay 10 10,28.7976090764
plenty space comfortable,28.7976090764
view easy,28.7976090764
ideal quiet,28.7976090764
room futon,28.7976090764
feel welcome went,28.7976090764
lugar,28.7416010871
walk would recommend,28.4238118645
enjoyed spacious,28.4238118645
apartment beautiful everything,28.4238118645
get away hustle,28.4238118645
area safe easy,28.4238118645
find parking space,28.4238118645
would recommend good,28.4238118645
buen estado,28.4238118645
snacks room,28.4238118645
near buses,28.4238118645
could ever want,28.064677202
two lovely cats,28.064677202
building comfortable,28.064677202
one want,28.064677202
fabulous view,28.064677202
front entrance,28.064677202
