name,count
ferry,132.516963052
loft,96.9955088903
staten island,67.4751366193
staten,67.4751366193
island,43.8650216482
staten island ferry,29.3664393194
island ferry,28.6644695636
bus ferry,19.846102282
harbor,18.8202960434
views,17.6836988402
almost,16.0358380773
view,15.0544075964
three,13.6379604768
terrific,13.3590999318
book,13.2956451971
family weekend,13.0487622699
family wonderful,13.0076625622
loft everything,12.5468640289
incredible,12.5039841699
ferry manhattan,12.2434875493
spacious clean,12.2377031986
time needed something,12.0998338943
unheard,12.0998338943
kids,11.9798104389
familles,11.8268188079
du,11.7297935106
accommodating thank,11.6968488729
hostess,11.6684642486
host contact,11.3300027638
coming home,10.9284544316
anfitrion,10.9284544316
something,10.9103683815
bustle,10.7991746325
could not,10.7449603681
families,10.7355412792
runs,10.6102193041
unique,10.6102193041
space amazing,10.5836313486
everyone,10.5828279772
quatre,10.4873043373
grande,10.426905284
seguridad,10.3931919375
little extras,10.3011946031
spacious comfortable,10.1330423402
surprise,10.1330423402
metro cards,10.1231792049
left us,10.0759204061
wonderful view,10.0369926722
special place,10.0369926722
definitely book,9.96324635231
every time,9.90767526134
