name,count
views,78.3015856018
waterfront,73.4483455584
true,69.5840034091
kind considerate,66.3393032213
island,60.6968029313
listed,49.5723680213
really suggest,48.820268842
extra blankets pillows,48.820268842
arrival overall,48.820268842
although barely,48.820268842
waves,48.820268842
nearest bus,48.1488057218
pillows sheets,48.1488057218
facilities also,47.5059243187
water bed,47.5059243187
privacy two,47.5059243187
respectful person,47.5059243187
dog,46.8970932046
loved highly,46.8892904165
filming,46.8892904165
good location get,46.8892904165
overall experience,46.3893356061
sheets kitchen,46.2968445627
stay condo,45.7267605678
going kind,45.7267605678
apartment fact,45.7267605678
benches,45.7267605678
quiet walk,45.1774115563
also live,45.1774115563
photos listing,45.1774115563
overall made,45.1774115563
helpful staying,45.1774115563
12 minute,44.6473419768
exactly listing,44.6473419768
true pleasure,44.6473419768
cozy beds,44.6473419768
experience apartment well,44.1352443602
day area,44.1352443602
friendly although,44.1352443602
private parking,44.1352443602
acting,44.1352443602
considerate,43.7396740727
give try,43.6399398893
loved quiet,43.6399398893
weight,43.6399398893
spectacular views,43.1603620548
overall experience apartment,43.1603620548
light day,43.1603620548
room listed,43.1603620548
room every,43.1603620548
staying wonderful host,43.1603620548
