name,count
ferry,68.5145903185
exclusive,64.4167882639
drove us,53.4602647206
acceptable,49.4223097975
back house,49.0868138578
home quiet,48.755945596
help needed,45.9671555138
te,40.7317831124
clean safe,38.9205405118
fun would definitely,38.7635214746
us everyday,38.7635214746
new accommodation,38.7635214746
reprises,38.7635214746
actually found,38.7635214746
experience staying house,38.2303766211
admission,38.2303766211
trully,38.2303766211
feel home not,37.7199257844
warm welcome even,37.7199257844
one thing not,37.7199257844
needed breakfast,37.7199257844
made choice,37.7199257844
even drove us,37.7199257844
transport within,37.2303155861
house perfect us,37.2303155861
ofcourse,37.2303155861
experience staying,37.0340830952
us around,36.8333491316
meet us show,36.7599108112
stayed nearly,36.7599108112
best house,36.7599108112
clean safe location,36.7599108112
got help,36.7599108112
felt home away,36.7599108112
definitely went,36.3072614567
easy walk station,36.3072614567
sur des,35.8710757759
house feel,35.8710757759
expect host,35.8710757759
americain,35.8710757759
amazing host went,35.8710757759
must,35.6629917184
drove,35.4733656822
amable atento,35.4501980541
also attentive,35.4501980541
neighbourhood super,35.4501980541
saved money,35.4501980541
woman traveling alone,35.0435901547
staying place experience,35.0435901547
ask something,35.0435901547
go help,34.6503160915
