name,count
staten island,108.296328048
staten,108.296328048
island,70.4025365822
house amenities,67.0176594319
pool,51.9920404929
stayed house,44.5377158673
fully,44.018756412
makes feel home,43.616763795
beautiful house,43.318531219
makes,41.812432798
nice house,39.0456484805
families,36.758063556
required,36.5424201878
dining,34.4995480935
bedrooms,34.1137566441
suited family,33.9761298497
traveling children,33.9761298497
experience spacious,33.9761298497
would suit,33.9761298497
space live,33.9761298497
enjoyed house,33.9761298497
listing airbnb,33.9761298497
essentials,33.7349167717
makes feel,33.5480262604
neighborhood visit,33.508829716
bus would,33.508829716
airbnb accurate,33.508829716
spent house,33.508829716
zones,33.508829716
loved playing,33.508829716
next vacation,33.508829716
owner really,33.508829716
everything incredibly,33.508829716
vacation home,33.508829716
spacious inviting,33.0614208313
typical hotel,33.0614208313
made sure available,33.0614208313
room kitchen well,33.0614208313
home enjoy,33.0614208313
decor everything,33.0614208313
upon checking,33.0614208313
includes everything,33.0614208313
suites,33.0614208313
shore,33.0614208313
needed spent,33.0614208313
hotel highly recommend,32.6322787142
stay besides,32.6322787142
convenient excellent,32.6322787142
house neat clean,32.6322787142
ferry terminal,32.2199701027
made stay convenient,32.2199701027
