name,count
bronx,42.5101481434
anfitriona,40.9519736321
cool summer,35.1052153767
stay excelente,32.2483881918
casa,30.0553107965
problems,29.9018753295
store,29.4477965048
habitacion,27.7871569247
mi,27.6299390614
even two,27.6030450822
ta,27.1378783475
room perfect,27.0154268105
apartamento,27.0154268105
entire house,26.474571174
por,25.8501860018
lo,25.0265652413
je,24.8931495599
areas,24.4991648076
working,23.6143925237
se,23.3699563661
anything would,22.8420806351
lo recomiendo,22.5362427014
entire,22.3121154088
atenta,22.238561426
salon,21.9486130129
not comfortable,21.8064150863
hospitable,21.7520772681
block,21.7520772681
co,21.6660058603
ones,20.475986816
felt safe walking,19.8658685017
comoda,19.8658685017
laid back,19.7477469096
older,19.5151887837
comfortable home,19.287377075
recomiendo,18.8452445752
girls,18.7373945934
limpio,18.7373945934
safe walking,18.6305766846
laid,18.5247712831
buena,18.5247712831
gracias,18.2132426095
common,18.2132426095
tranquilo,18.1113023002
amable,18.1113023002
get subways,18.0382349889
size not,18.0382349889
experience spacious,18.0382349889
30 00,18.0382349889
surprisingly big,18.0382349889
location boyfriend,18.0382349889
