name,count
loft,96.7755643126
tribeca,67.9052947218
soho,36.2609502186
canal,13.9145153103
building,11.1570813176
lines,10.7870485776
huge,10.7590013102
flat,10.1907486272
canal street,10.1355560374
cool,9.26358527302
beds,9.19683290732
chinatown,8.93586829063
responsive,8.80939436305
light,8.57301591763
corner,8.44844802002
equipped,8.06915281721
location perfect,8.03281153309
bathrooms,7.67593688553
hotel,7.54489817105
appartment,7.53636692895
shops,7.38436842273
bars,7.34331294052
bedrooms,6.9463771059
modern,6.83569901807
apt,6.82915966432
view,6.65742202125
shopping,6.55583570172
photos,6.45540078613
downtown,6.38959998727
highly recommended,6.32469446518
perfectly,6.21963899907
decorated,6.17826945438
perfect location,6.11818916792
italy,6.04847276954
little italy,6.04347684246
open,6.00808461201
gorgeous,5.98394782844
machine,5.91795740917
fabulous,5.88696542714
block,5.87965488212
weekend,5.86803400784
stay apartment,5.69298568107
high,5.63732268187
keys,5.62778530073
several,5.54724559376
elevator,5.54155879803
recommend apartment,5.48493995469
ideal,5.43253793437
couldn,5.34856086328
floor,5.32401616381
noisy,5.27384328051
