name,count
une,115.827831295
toujours,70.6279490221
comme,67.8243207973
ou,65.9339105847
avec,58.8340264577
interview,55.4374897029
bronx,51.585841448
accueilli,50.9407873017
je suis sentie,43.7786067929
se rend,43.7786067929
des produits,43.7786067929
place convenience,43.7786067929
petit,43.710771348
quiet times,43.1764855713
suis sentie,43.1764855713
une visite,43.1764855713
next visit wonderful,43.1764855713
breakfast left,43.1764855713
nom,42.599994437
room extremely comfortable,42.599994437
cider,42.599994437
feel welcome went,42.599994437
comfortable looked,42.599994437
gave us best,42.047040228
overall lovely stay,42.047040228
spectacular host,42.047040228
even woke,42.047040228
tidy provided,42.047040228
discuter avec,42.047040228
peut se,42.047040228
home anyone looking,41.5157761712
even begin,41.5157761712
made lovely,41.5157761712
cinch,41.5157761712
stay start,41.5157761712
bon,41.1509204543
havre paix,41.0045646674
paix,41.0045646674
havre,41.0045646674
ever first,41.0045646674
airbnb next,41.0045646674
squeezed,41.0045646674
clean short walk,41.0045646674
lovely one,40.5119468483
safe warm,40.5119468483
je,40.2769416221
place ever stayed,40.036617477
wonderful beautiful,40.036617477
sorties,40.036617477
stay would gladly,40.036617477
ou peut,40.036617477
