name,count
bronx,40.4765506276
brother,21.6569035336
think,16.9957999847
bathroom clean,15.8015418663
room exactly,15.8015418663
first airbnb experience,15.7175224499
10 minutes,15.6341620161
first airbnb,15.0682579742
minutos,14.7780898741
house room,14.5217070136
airbnb experience,14.4563825137
directions,13.8778233195
everyone,13.7379739226
common areas clean,13.5512780646
todo,13.2713528788
clean quiet private,12.869603683
experience set,12.7149917233
lo,12.7089846137
metro station,12.641233493
places eat,12.5073296129
quiet 10,12.4216781665
family friendly,12.2985104726
central,12.245686795
luggage,12.1815150138
recommend airbnb,12.1429651883
prices,12.1429651883
clean well maintained,11.9911237174
nice house,11.8428137656
reasonable prices,11.7663280815
ayudaron,11.5300806208
clean well,11.5058533624
huge,11.5058533624
casa,11.44701077
advertised,11.44701077
good reviews,11.4167042931
areas clean,11.4167042931
advices,11.2150574351
eat,11.1587553462
really cool,11.0188253217
room clean,10.9349866251
dieron,10.8911768246
map,10.8284517668
exactly advertised,10.8284517668
never met,10.5831507363
reviews,10.3469370469
room exactly advertised,10.3358633628
close grocery stores,10.2499743744
uncle,10.2499743744
well maintained,10.17534713
barrio,9.9535146591
stations,9.9535146591
