name,count
central park,47.3698628165
central,40.1461230071
park,37.5905391734
upper east,24.5972278111
upper east side,23.6469092658
east side,19.89268933
upper,19.6834521752
east,19.5442278713
side,15.24646962
close central,11.8398411759
studio,10.8318407614
building,10.6639150621
museums,9.34525271531
walk central park,8.94147533192
shops,8.90902242409
apt,8.8486063637
flat,8.66928765123
walk central,8.38599288969
keys,8.21004618436
stay apartment,8.10469030272
museum,7.88380489931
floor,7.60914616435
responsive,7.48317260644
bars,7.08725291954
se,7.03637598327
apartamento,6.98306498585
flexible,6.90986232579
todo,6.86781245997
appartment,6.84096913601
lo,6.63668957685
apartment location,6.17340967223
departamento,6.05910118016
dans,5.75549713907
blocks away,5.74991614531
quickly,5.65885957988
recommend apartment,5.41477200133
wifi,5.41044230308
block,5.39350378272
une,5.37992759462
friend,5.22585194416
apartment perfect,5.17297678651
location perfect,5.10418367222
lexington,5.09501362076
key,5.09279131493
stairs,5.07958954761
worked,5.00657766812
luggage,4.96039130437
avons,4.9236090543
photos,4.81540357445
eat,4.75428351321
perfectly,4.73612358606
