name,count
perhaps,140.281749163
streets quiet,120.558394601
mother daughter,120.558394601
10 minutes station,120.558394601
night back,120.558394601
mother,119.702491896
home welcomed us,117.312708548
hispanic,115.789972294
room double bed,115.789972294
cons not,115.789972294
sodas,112.919182445
immediate response,112.919182445
local supermarket,112.919182445
ritz,112.919182445
tourist area,111.562601736
minutes depending,107.765918098
salads,107.765918098
keys lock,107.765918098
nicest hosts,106.581632653
room double,105.433792603
clean decent,103.23893261
takes 40,103.23893261
quiet wonderful,102.18810655
40 minutes get,101.166073898
keys,100.953501523
minute walking distance,100.171298724
home welcomed,100.171298724
help us everything,99.2023648119
wasn comfortable,99.2023648119
area found,99.2023648119
home even though,98.2579635266
cream cheese,97.3368831913
not seem,96.4379997375
55,96.4379997375
prompt respond,95.5602684579
walking distance away,94.7027167072
lock room,94.7027167072
wonderful stay would,93.8644374232
separate entrance,91.4570306543
sold,91.4570306543
hosts went,90.6878929253
minute walking,89.1956196032
next room,86.3790475808
bed quiet,86.3790475808
walked us,86.3790475808
distance away,83.7602982733
enough get,83.7602982733
walking night,83.7602982733
us station,83.1333615279
pro,83.1333615279
people living,81.910240204
