name,count
dumbo,63.1502814745
view,51.7182615386
bridge,35.7398477104
loft,33.5508180013
views,25.5793641053
building,24.1122929453
williamsburg,22.1199696185
rooftop,18.4264382015
manhattan bridge,17.4130797193
roof,16.5980008867
ferry,13.3897603811
une,12.658772562
view manhattan,12.4559425762
balcony,11.8305043436
apt,11.3643841212
flat,11.3055961568
wine,10.6834062162
bottle,10.3525972981
bottle wine,10.1880647943
cool,9.66489308929
bridges,9.62292506317
du,9.54398015153
shops,9.22837160777
park,9.18164843483
amazing view,9.00571419499
communicate,8.85088206824
bridge park,8.75116850814
ce,8.38724307781
east river,8.23675381111
easy communicate,8.22180197138
skyline,8.1106555268
river,8.1106555268
responsive,7.61542168621
empire state building,7.59421906206
state building,7.59421906206
avec,7.50160224964
stunning,7.47202114864
vue,7.42234317452
east,7.28884855657
empire state,7.20839971494
recommend apartment,7.19134168044
avons,7.19134168044
would highly recommend,7.17562362815
would highly,7.17562362815
empire,7.10590368479
qui,7.03979404758
huge,7.0113651887
per,6.97001959527
des,6.92918596816
contact,6.86940192739
heights,6.54961032363
