name,count
someone came,43.3486056192
appartment,31.4779475276
quiet easy,31.3575697831
room spacious,30.4881320583
une,29.8533199441
plan,28.9357777953
metro card,27.8217403018
shops,27.4905705517
calling,27.458997888
travel,27.2131201828
informations,27.1054398203
accommodating apartment,25.7744524369
christmas,25.3063148229
six,24.8533627574
reliable,23.4415759331
closed,23.3079404851
spacious comfortable,23.0444459182
restaurants area would,22.5668863983
quiet place close,22.5668863983
easy going everything,22.5668863983
neighborhood quiet easy,22.5668863983
extra pillows blankets,22.5668863983
stores drug stores,22.5668863983
cozy large,22.5668863983
card,22.5319187534
vous,22.4066730911
helpful went make,22.2565064616
everything needed like,22.2565064616
place christmas,22.2565064616
provided things,22.2565064616
word describe,22.2565064616
amply,22.2565064616
next year thank,22.2565064616
money room,21.959338258
staying bed,21.959338258
immediately helped,21.959338258
propre une,21.959338258
stores drug,21.959338258
find also,21.959338258
near local,21.959338258
host accommodating last,21.959338258
times stay make,21.6743028096
cleanly,21.6743028096
looking reasonably priced,21.6743028096
went beyond expected,21.6743028096
se rendre au,21.6743028096
station able,21.6743028096
dope,21.6743028096
used bathroom,21.6743028096
early one,21.6743028096
place stay many,21.4004481464
