name,count
staten island,86.9649582199
staten,86.9649582199
keep,84.3706092048
conversation,68.8712094932
towards end stay,68.2094390024
pleasurable experience,68.2094390024
downright,68.2094390024
strike,68.2094390024
not gave,68.2094390024
changed sheets,67.2713015479
going miss,67.2713015479
anything needed even,67.2713015479
running,66.609459436
big enough one,66.3730971567
always busy,66.3730971567
always keep,66.3730971567
even changed,64.6838264128
miss,64.4627645324
ask needed anything,63.8873312194
satellite,63.8873312194
cannot recommend enough,63.1198059931
even giving,63.1198059931
needed anything even,63.1198059931
day running,62.3792171044
host responds quickly,61.6637378174
went beyond help,61.6637378174
enough one person,60.9717211427
laundry,60.7900808412
giving,60.7900808412
towards end,60.3016770028
area home,60.3016770028
home large,60.3016770028
conducive,60.3016770028
bed comfortable even,60.3016770028
vent,59.6522529111
ask needed,59.6522529111
comfortable went,59.6522529111
beyond help,59.6522529111
really thought,59.022217537
person bed,59.022217537
compliment,59.022217537
let borrow,59.022217537
not ask better,58.4104466537
well first time,58.4104466537
friendly could,58.4104466537
goal,58.4104466537
neighborhood amenities,57.8159110655
right would,57.8159110655
tidy quiet,57.2376661903
bathroom super clean,57.2376661903
help anything needed,57.2376661903
