name,count
bronx,41.9333867801
month,39.8544432288
park couple blocks,35.0975426288
unit,32.3937367507
park couple,31.461271456
hospital,31.4500400851
couple blocks away,31.2522364158
blocks away,30.7371756983
problems,29.4961781693
double,28.7062207448
machine,28.5385400257
couple blocks,28.2082008347
walgreens,28.2079329385
mind staying,27.7073494965
never problems,27.2285375679
owner,25.2241807512
apt,23.0528817737
issue,22.9336292053
definitely not,22.2304796159
apartment safe,21.9368371657
washing machine,21.6508226612
late night,21.456953438
used,21.456953438
however,21.456953438
responsive,21.2410495928
oven,20.96669339
not issue,20.7045157823
time not,20.4484358844
arrived late night,19.9534788806
washing,19.9534788806
control,19.8331395482
everything ok,19.714101207
agreed,19.714101207
quiet night,19.1374804965
concerns,18.48317282
make sure everything,18.1700444399
rental,17.8655751065
questions concerns apartment,17.7934991444
places overall,17.7934991444
demanded,17.7934991444
visiting new host,17.7934991444
always kept touch,17.7934991444
sleep however,17.7934991444
neighborhood seem,17.7934991444
nearby small,17.7934991444
control temperature,17.7934991444
beds comfortable,17.7659279168
surprisingly quiet night,17.5487713144
close everything apartment,17.5487713144
us order,17.5487713144
back couple,17.5487713144
