name,count
avons,161.607004408
zoo,154.109643818
du,132.771188057
par,120.541471159
ils,119.91982819
etait,115.433574577
avait,114.737376122
mais,114.207695109
qui,113.000970793
contre,105.647064561
avec du,95.8914035814
bronx zoo,95.8914035814
chaises,84.6270257451
donc,83.9701074524
heureusement,79.8650778662
ils sont,75.1031299874
chauffage,74.4790377721
grand,72.3248826954
sont,71.5394864193
par contre,71.5347620215
celui,70.9781431071
qui etait,67.8339215843
tout,67.0876873233
avec,67.0876873233
porte,66.8531562268
francais,64.9803698753
rapidement,61.9536067219
egalement,60.7420195138
etions,58.8226747299
bronx,58.8226747299
quelques,57.7258193675
cuisine,52.7592911783
arrivee,51.2666571737
peu,50.9765938785
qu,50.6892288856
eu,50.4045124557
literally across road,49.9201849814
du voyage,49.9201849814
etait plus,49.9201849814
comprendre,49.9201849814
fait,49.8428330918
garden lovely,48.5762283976
toujours repondu rapidement,48.5762283976
du etre,48.5762283976
bruit des,48.5762283976
clef,48.5762283976
fatigue,48.5762283976
par terre,47.9457017907
avec quelques,47.9457017907
voisine,47.9457017907
rue mais,47.3399081866
