name,count
village,76.3118489564
bars,23.4910134751
shops,14.8420937733
studio,13.0716372018
greenwich,12.9950775575
responsive,12.9376139954
building,11.8794028919
restaurants bars,11.4006460392
greenwich village,11.3623605688
flat,11.267836033
perfect location,11.2019879868
stay apartment,10.7000689649
heart,10.6957619551
meatpacking,10.6884199265
noise,10.5413298773
apartment location,10.3175222093
cafes,9.99970480186
apt,9.99602186131
soho,9.87133679247
keys,9.8480939263
high line,9.53695835249
apartment perfect,9.04547225861
floor,8.8476084674
bars restaurants,8.02209075445
couldn,7.86858725712
location perfect,7.65233288053
high,7.49461644878
perfectly,7.41690313945
key,7.09945414062
decorated,7.04813285974
recommendations,6.95409112733
light,6.88585995524
flexible,6.87618615714
recommend apartment,6.8155202947
meatpacking district,6.79030796267
line,6.76177392863
charming,6.6884302129
highline,6.66151923943
location apartment,6.52862903896
shopping,6.37251821051
district,6.25221955046
corner,6.20979823328
block,6.10784638603
lines,6.08391077154
restaurant,6.07130571843
river,5.90228653717
noisy,5.76422398429
fantastic location,5.76069756025
market,5.75868865179
eat,5.71369896969
photos,5.69969329894
