name,count
free parking,295.088778502
cozy clean bed,247.261413081
stations could,247.261413081
recommend staying family,237.481531375
safe little,234.480953901
little girl,231.593633173
right close,231.593633173
parking spots,231.593633173
adorable little,228.81132951
well money,223.53303548
family well,223.53303548
day extremely,218.595521161
giving us directions,216.241337914
close bus stops,209.584539584
even took us,203.460878734
boyfriend stay,199.634835569
complains,195.99105555
place cozy clean,189.186135356
near stations,179.994504535
us free,178.564464417
parking right,177.160665054
neighbourhood lots,175.782160754
bed amazing,175.782160754
staying family,163.212169158
nice family,160.928270637
dollar,157.625387135
better hotel,155.500113839
even took,149.457111846
family nice,149.457111846
avoid,147.544389251
us directions,145.67832311
close bus,143.856691366
extremely nice,141.203075569
place cozy,140.338604012
chinese,138.638424737
bus stops,135.347383185
girl,135.347383185
stay family,134.546277239
public transit,132.968800346
giving us,132.192093992
definitely back,130.66194461
spots,129.90819547
nice safe,129.161800098
last day,124.131496298
stations,119.411634811
clean bed,116.839798732
cozy clean,116.839798732
finding,115.585591647
took us,114.966115236
transit,114.351614592
accomodating,113.137225304
