name,count
bronx,48.4083900252
flat,16.2922145374
lady,15.5155460096
room clean,15.0897938511
due,13.5067533001
juice,13.437372659
problems,13.0964352193
downtown,13.0964352193
gracious,12.8975575955
book,12.702644575
studio,12.4813557574
items,12.1426773101
tv ac,11.6974143332
ac,11.6295589543
husband first,11.4275745819
host place,11.3251528319
breakfast options,11.2993294829
man,11.2066316221
responded,11.0898794518
described wonderful,11.0548045456
book nice,10.9380458721
recommend anyone,10.7497280264
evening,10.6395536671
huge,10.5850429922
checked,10.5850429922
wife,10.5309095568
hot,10.5309095568
even took time,10.5030284991
everything listing,10.5030284991
pleasure,10.4771481754
something,10.4237537688
fine,10.370721361
description,10.16211566
bagels,10.0780294942
30,10.0598625674
says,9.90461723426
smile,9.84793382086
big smile,9.84174982118
pictures shown,9.75578756749
hot spots,9.75578756749
place clean comfortable,9.73618401073
vehicle,9.67167410848
neighborhood new,9.50868697968
comfortable needed,9.50868697968
included,9.46578188147
fruit,9.41316549607
long day exploring,9.35222111142
eine,9.30932760575
gracious host,9.25808983336
flat exactly,9.20177467504
staying apartment,9.10700798259
