name,count
irish,81.7099736601
chi,69.7407290438
pubs,39.8888559515
dog,34.3429925258
bronx,33.0998182456
north,32.2816525518
guys,23.4941041918
cute,21.9424191614
get interact,17.1431951222
pubs restaurants,16.341994732
grand central,16.0597472422
interact,15.3362493728
wonderful hosts,14.7184253682
adorable,13.8733573078
didn get,13.8001404665
due,13.0974832213
driveway,12.6078246716
friendly couple,12.3707369243
grand,12.3325998002
een,12.2689994983
friendly hosts,11.7387827461
playful,11.6234548406
schedule,11.5611310898
central,11.3794845108
year,11.2606660583
funny,11.2496199
stay exactly,10.8926623976
company,10.4308322345
gracious,10.4222890363
bed comfortable,10.3169370996
bars,10.2560462813
feel like,10.2129714129
fell like home,10.074179516
laid back friendly,10.074179516
fairly,9.9750656875
even feel,9.93966937471
answer questions area,9.81065100067
bronx zoo,9.81065100067
manhattan not far,9.68669349444
city made us,9.56741476225
beautiful friendly,9.56741476225
catch,9.49878019523
within reasonable walking,9.45247441272
didn get interact,9.34156790072
fell like,9.34156790072
differences,9.34156790072
charming,9.29809595711
reasonable walking distance,9.23442166433
reasonable walking,9.23442166433
gone,9.14285735188
us feel right,8.91434242231
